WEEK_NUM,GAME_DATE,GAME_TIME_SCORE,AWAY_SCHOOL,HOME_SCHOOL,GAME_LOCATION
1,"Saturday, August 27, 2022 ","WKU 38, APSU 27",2046,98,"Bowling Green, KY"
1,"Saturday, August 27, 2022 ","NU 31, NEB 28",158,77,Dublin
1,"Saturday, August 27, 2022 ","UNLV 52, IDST 21",304,2439,"Las Vegas, NV"
1,"Saturday, August 27, 2022 ","USU 31, CONN 20",41,328,"Logan, UT"
1,"Saturday, August 27, 2022 ","ILL 38, WYO 6",2751,356,"Champaign, IL"
1,"Saturday, August 27, 2022 ","FSU 47, DUQ 7",2184,52,"Tallahassee, FL"
1,"Saturday, August 27, 2022 ","FAU 43, CLT 13",2429,2226,"Boca Raton, FL"
1,"Saturday, August 27, 2022 ","UNC 56, FAMU 24",50,153,"Chapel Hill, NC"
1,"Saturday, August 27, 2022 ","NEV 23, NMSU 12",2440,166,"Las Cruces, NM"
1,"Saturday, August 27, 2022 ","UNT 31, UTEP 13",249,2638,"El Paso, TX"
1,"Saturday, August 27, 2022 ","VAN 63, HAW 10",238,62,"Honolulu, HI"
1,"Thursday, September 1, 2022 ","OKST 58, CMU 44",2117,197,"Stillwater, OK"
1,"Thursday, September 1, 2022 ","PITT 38, WVU 31",277,221,"Pittsburgh, PA"
1,"Thursday, September 1, 2022 ","WAKE 44, VMI 10",2678,154,"Winston-Salem, NC"
1,"Thursday, September 1, 2022 ","AKR 30, SFPA 23 (OT)",2598,2006,"Akron, OH"
1,"Thursday, September 1, 2022 ","TENN 59, BALL 10",2050,2633,"Knoxville, TN"
1,"Thursday, September 1, 2022 ","UCF 56, SCST 10",2569,2116,"Orlando, FL"
1,"Thursday, September 1, 2022 ","FIU 38, BRY 37 (OT)",2803,2229,"Miami, FL"
1,"Thursday, September 1, 2022 ","TOL 37, LIU 0",112358,2649,"Toledo, OH"
1,"Thursday, September 1, 2022 ","PSU 35, PUR 31",213,2509,"West Lafayette, IN"
1,"Thursday, September 1, 2022 ","NIU 34, EIU 27",2197,2459,"DeKalb, IL"
1,"Thursday, September 1, 2022 ","UAB 59, AAMU 0",2010,5,"Birmingham, AL"
1,"Thursday, September 1, 2022 ","MIZ 52, LT 24",2348,142,"Columbia, MO"
1,"Thursday, September 1, 2022 ","MINN 38, NMSU 0",166,135,"Minneapolis, MN"
1,"Thursday, September 1, 2022 ","ASU 40, NAU 3",2464,9,"Tempe, AZ"
1,"Thursday, September 1, 2022 ","FRES 35, CP 7",13,278,"Fresno, CA"
1,"Thursday, September 1, 2022 ","SJSU 21, PRST 17",2502,23,"San Jose, CA"
1,"Friday, September 2, 2022 ","MSU 35, WMU 13",2711,127,"East Lansing, MI"
1,"Friday, September 2, 2022 ","EMU 42, EKU 34",2198,2199,"Ypsilanti, MI"
1,"Friday, September 2, 2022 ","ODU 20, VT 17",259,295,"Norfolk, VA"
1,"Friday, September 2, 2022 ","W&M 41, CLT 24",2729,2429,"Charlotte, NC"
1,"Friday, September 2, 2022 ","DUKE 30, TEM 0",218,150,"Durham, NC"
1,"Friday, September 2, 2022 ","KU 56, TNTC 10",2635,2305,"Lawrence, KS"
1,"Friday, September 2, 2022 ","IU 23, ILL 20",356,84,"Bloomington, IN"
1,"Friday, September 2, 2022 ","TCU 38, COLO 13",2628,38,"Boulder, CO"
1,"Saturday, September 3, 2022 ","ALA 55, USU 0",328,333,"Tuscaloosa, AL"
1,"Saturday, September 3, 2022 ","OSU 21, ND 10",87,194,"Columbus, OH"
1,"Saturday, September 3, 2022 ","UGA 49, ORE 3",2483,61,"Atlanta, GA"
1,"Saturday, September 3, 2022 ","TA&M 31, SHSU 0",2534,245,"College Station, TX"
1,"Saturday, September 3, 2022 ","FLA 29, UTAH 26",254,57,"Gainesville, FL"
1,"Saturday, September 3, 2022 ","MICH 51, CSU 7",36,130,"Ann Arbor, MI"
1,"Saturday, September 3, 2022 ","OU 45, UTEP 13",2638,201,"Norman, OK"
1,"Saturday, September 3, 2022 ","BAY 69, ALB 10",399,239,"Waco, TX"
1,"Saturday, September 3, 2022 ","NCST 21, ECU 20",152,151,"Greenville, NC"
1,"Saturday, September 3, 2022 ","USC 66, RICE 14",242,30,"Los Angeles, CA"
1,"Saturday, September 3, 2022 ","MIA 70, BCU 13",2065,2390,"Miami Gardens, FL"
1,"Saturday, September 3, 2022 ","WISC 38, ILST 0",2287,275,"Madison, WI"
1,"Saturday, September 3, 2022 ","ARK 31, CIN 24",2132,8,"Fayetteville, AR"
1,"Saturday, September 3, 2022 ","UK 37, M-OH 13",193,96,"Lexington, KY"
1,"Saturday, September 3, 2022 ","MISS 28, TROY 10",2653,145,"Oxford, MS"
1,"Saturday, September 3, 2022 ","HOU 37, UTSA 35 (3OT)",248,2636,"San Antonio, TX"
1,"Saturday, September 3, 2022 ","BYU 50, USF 21",252,58,"Tampa, FL"
1,"Saturday, September 3, 2022 ","CONN 28, CCSU 3",2115,41,"East Hartford, CT"
1,"Saturday, September 3, 2022 ","IOWA 7, SDST 3",2571,2294,"Iowa City, IA"
1,"Saturday, September 3, 2022 ","MD 31, BUFF 10",2084,120,"College Park, MD"
1,"Saturday, September 3, 2022 ","RUTG 22, BC 21",164,103,"Chestnut Hill, MA"
1,"Saturday, September 3, 2022 ","UNC 63, APP 61",153,2026,"Boone, NC"
1,"Saturday, September 3, 2022 ","DEL 14, NAVY 7",48,2426,"Annapolis, MD"
1,"Saturday, September 3, 2022 ","UVA 34, RICH 17",257,258,"Charlottesville, VA"
1,"Saturday, September 3, 2022 ","AFA 48, UNI 17",2460,2005,"USAF Academy, CO"
